1995, 3.0545309676811163
1996, 3.9723648321147764
1997, 4.060297396944946
1998, 30.434049765381648
1999, 30.434049765381648
2000, 30.434049765381648
2001, 30.434049765381648
2002, 30.434049765381648
2003, 30.434049765381648
2004, 30.434049765381648
2005, 30.434049765381648
2006, 52.611132991301204
2007, 68.41987090116676
2008, 204.46457143673823
2009, 248.9983753642602
2010, 254.51022201221005
2011, 501.7361994709734
2012, 501.7361994709734
2013, 501.7361994709734
2014, 501.7361994709734
2015, 1993.0792337774153
2016, 1993.0792337774153
2017, 2037.1981846650415
2018, 4999.086480169281
2019, 4999.086480169281
2020, 6087.922240615272
