1995, 12.402304136963364
1996, 12.402304136963364
1997, 12.402304136963364
1998, 123.57129304087205
1999, 123.57129304087205
2000, 123.57129304087205
2001, 248.9983753642602
2002, 248.9983753642602
2003, 248.9983753642602
2004, 248.9983753642602
2005, 501.7361994709734
2006, 501.7361994709734
2007, 1231.2119018500232
2008, 1231.2119018500232
2009, 1231.2119018500232
2010, 1231.2119018500232
2011, 4999.086480169281
2012, 4999.086480169281
2013, 12538.821945802387
2014, 12538.821945802387
2015, 12538.821945802387
2016, 12538.821945802387
2017, 12538.821945802387
2018, 24718.77482637338
2019, 49808.775333654274
2020, 49808.775333654274
